Name,First Name,Last Name,Sex,SSN,DOB,Birthday,Age,Zip,Education,Marital Status,Occupation,Salary
Kristin Myers,Kristin,Myers,Female,862-15-2467,01/10/03,01/10,21,84501,Some college,Married,Clinical research associate,Under 25k
Christine Patrick,Christine,Patrick,Female,711-27-2241,06/15/06,06/15,18,45932,Bachelors degree,Married,Equities trader,50k to 100k
Daniel Stewart,Daniel,Stewart,Male,794-51-7467,06/08/91,06/08,33,62968,Associate degree,Married,Archaeologist,Under 25k
Kathleen Thomas,Kathleen,Thomas,Female,727-78-9018,06/23/68,06/23,56,73909,Bachelors degree,Never married,Barrister's clerk,50k to 100k
Sandra Garcia,Sandra,Garcia,Female,534-07-8899,02/05/76,02/05,48,95772,No degree,Divorce,Administrator/ sports,50k to 100k
Shelley Ward,Shelley,Ward,Female,883-12-1669,08/09/77,08/09,47,96162,High school/GED,Never married,Adult nurse,50k to 100k
Melissa Ortega,Melissa,Ortega,Female,439-88-9992,07/19/00,07/19,24,02361,Some college,Married,Careers information officer,50k to 100k
Jillian Tanner,Jillian,Tanner,Female,870-90-3655,07/06/93,07/06,31,93813,High school/GED,Married,Landscape architect,100k to 200k
Albert Lewis,Albert,Lewis,Male,070-20-9478,01/29/62,01/29,62,30872,High school/GED,Married,Toxicologist,50k to 100k
Terry Morse,Terry,Morse,Male,296-26-3857,05/13/03,05/13,21,55111,Associate degree,Never married,Tourist information centre manager,Under 25k
Carolyn Sullivan,Carolyn,Sullivan,Female,472-97-6200,12/13/61,12/13,62,31680,Masters degree,Divorce,Journalist/ newspaper,100k to 200k
Diana Stuart,Diana,Stuart,Female,697-42-0290,04/17/00,04/17,24,63111,Masters degree,Married,Embryologist/ clinical,Under 25k
Timothy Rodriguez,Timothy,Rodriguez,Male,113-04-4152,10/26/76,10/26,47,64133,High school/GED,Married,Technical author,50k to 100k
Robert Rojas,Robert,Rojas,Male,496-88-9020,07/06/01,07/06,23,41960,Associate degree,Married,Editor/ commissioning,25k to 50k
Sarah Miller,Sarah,Miller,Female,355-48-7960,08/11/78,08/11,46,64320,No degree,Widowed,Designer/ fashion/clothing,25k to 50k
James Evans,James,Evans,Male,151-94-7146,06/26/93,06/26,31,76552,Bachelors degree,Married,Operational researcher,100k to 200k
Kristina Donovan,Kristina,Donovan,Female,677-85-7021,11/08/82,11/08,41,17031,High school/GED,Married,Visual merchandiser,100k to 200k
April Boyd,April,Boyd,Female,852-72-6891,02/10/77,02/10,47,10070,Masters degree,Married,Radiation protection practitioner,100k to 200k
John Brown,John,Brown,Male,843-80-5152,10/07/82,10/07,41,62331,Masters degree,Widowed,Hydrographic surveyor,50k to 100k
Sean Moody,Sean,Moody,Male,020-14-8935,07/14/94,07/14,30,02485,Some college,Married,Chemical engineer,Over 200k
Angel Brown,Angel,Brown,Female,724-29-4913,01/07/83,01/07,41,17334,Masters degree,Never married,Pharmacologist,25k to 50k
Jesse Lewis,Jesse,Lewis,Male,769-87-1004,06/18/67,06/18,57,20845,Bachelors degree,Married,Volunteer coordinator,Under 25k
Brian Chavez,Brian,Chavez,Male,355-16-8796,10/19/78,10/19,45,48257,High school/GED,Never married,English as a second language teacher,100k to 200k
Mario Blanchard,Mario,Blanchard,Male,661-40-4890,01/26/78,01/26,46,11199,High school/GED,Divorce,Ophthalmologist,25k to 50k
Jason Powell,Jason,Powell,Male,220-61-6130,10/25/70,10/25,53,72692,Some college,Never married,Conservator/ furniture,25k to 50k
Jonathan French,Jonathan,French,Male,728-30-7068,11/08/71,11/08,52,44968,High school/GED,Never married,Exercise physiologist,Over 200k
Stephanie Peterson,Stephanie,Peterson,Female,023-35-7475,06/09/97,06/09,27,99340,Some college,Widowed,Quantity surveyor,Under 25k
Gabrielle Vargas,Gabrielle,Vargas,Female,415-03-1781,07/04/99,07/04,25,79775,Professional degree,Never married,Lecturer/ higher education,Over 200k
Kyle Gregory,Kyle,Gregory,Male,046-95-6263,04/28/04,04/28,20,51222,Masters degree,Never married,Mechanical engineer,50k to 100k
Lisa Thompson,Lisa,Thompson,Female,021-44-9663,09/23/97,09/23,26,49615,Bachelors degree,Never married,Theme park manager,50k to 100k
Rebecca Miles,Rebecca,Miles,Female,523-48-7454,04/10/85,04/10,39,77626,Bachelors degree,Separated,Surveyor/ hydrographic,25k to 50k
Brianna Hamilton,Brianna,Hamilton,Female,118-98-6010,02/25/60,02/25,64,42207,Associate degree,Divorce,Regulatory affairs officer,100k to 200k
Nancy Lin,Nancy,Lin,Female,672-03-2870,05/20/91,05/20,33,93161,Some college,Married,Merchant navy officer,25k to 50k
Joseph Rose,Joseph,Rose,Male,304-40-8740,07/16/98,07/16,26,97438,High school/GED,Never married,Research officer/ government,Over 200k
Heather Melendez,Heather,Melendez,Female,622-58-1014,05/25/02,05/25,22,22553,High school/GED,Never married,Osteopath,100k to 200k
John Lutz,John,Lutz,Male,602-38-9329,06/14/61,06/14,63,92235,Associate degree,Divorce,Public relations officer,Under 25k
Nicholas Morgan,Nicholas,Morgan,Male,475-05-8804,08/16/65,08/16,59,80377,High school/GED,Married,Radiation protection practitioner,100k to 200k
Justin Black,Justin,Black,Male,682-35-2214,01/29/93,01/29,31,10733,Some college,Married,Games developer,100k to 200k
Kelly Young,Kelly,Young,Female,001-67-1374,09/07/69,09/07,55,60091,Bachelors degree,Married,Banker,100k to 200k
Dean Townsend,Dean,Townsend,Male,709-51-2198,04/26/79,04/26,45,78996,Some college,Married,Theatre manager,100k to 200k
Michelle Thompson,Michelle,Thompson,Female,528-62-3081,04/12/74,04/12,50,35323,Some college,Never married,Sports development officer,100k to 200k
Kim Baker,Kim,Baker,Female,196-32-7702,10/06/78,10/06,45,07527,Some college,Never married,Company secretary,25k to 50k
Erika Garcia,Erika,Garcia,Female,698-77-3210,12/19/60,12/19,63,59051,Professional degree,Married,Toxicologist,50k to 100k
Karen Craig,Karen,Craig,Female,291-92-9793,07/20/79,07/20,45,43358,Bachelors degree,Never married,Pilot/ airline,Under 25k
Emily Cole,Emily,Cole,Female,055-76-7549,07/16/66,07/16,58,01452,Bachelors degree,Married,Midwife,Over 200k
Luis Jennings,Luis,Jennings,Male,283-55-0239,07/08/95,07/08,29,39742,Bachelors degree,Never married,Politician's assistant,Over 200k
Patrick Montoya,Patrick,Montoya,Male,519-39-9778,02/22/89,02/22,35,37952,Bachelors degree,Married,Horticultural consultant,Over 200k
Melissa Fox,Melissa,Fox,Female,628-49-8082,06/29/06,06/29,18,07720,Masters degree,Divorce,Engineer/ manufacturing,25k to 50k
Deborah Cardenas,Deborah,Cardenas,Female,639-70-4676,11/15/95,11/15,28,40867,Masters degree,Married,Data scientist,Over 200k
Aaron Brown,Aaron,Brown,Male,306-25-1670,12/30/71,12/30,52,37368,Bachelors degree,Married,Commercial horticulturist,50k to 100k
Christopher Greer,Christopher,Greer,Male,610-78-6489,09/24/64,09/24,59,75157,Some college,Never married,Visual merchandiser,Under 25k
Bryan Jones,Bryan,Jones,Male,365-44-0620,02/23/62,02/23,62,40527,High school/GED,Never married,Accountant/ chartered public finance,50k to 100k
Kelly Smith,Kelly,Smith,Female,582-40-6407,05/11/70,05/11,54,88352,Bachelors degree,Married,Production assistant/ radio,100k to 200k
Donald Zuniga,Donald,Zuniga,Male,544-37-0492,02/22/85,02/22,39,23919,High school/GED,Divorce,Probation officer,100k to 200k
Ryan Villanueva,Ryan,Villanueva,Male,837-40-9162,09/08/98,09/08,26,78701,No degree,Never married,Aeronautical engineer,25k to 50k
James Hill,James,Hill,Male,055-59-9589,11/08/04,11/08,19,93025,No degree,Never married,Warehouse manager,100k to 200k
Nancy Johnson,Nancy,Johnson,Female,306-76-1289,10/23/62,10/23,61,20271,High school/GED,Never married,Patent examiner,100k to 200k
Brandy Bridges,Brandy,Bridges,Female,081-19-0635,02/07/80,02/07,44,55873,Bachelors degree,Never married,Therapist/ art,100k to 200k
Tiffany Romero,Tiffany,Romero,Female,625-62-3364,10/09/88,10/09,35,77543,Bachelors degree,Married,Social research officer/ government,100k to 200k
Erin Bullock,Erin,Bullock,Female,445-06-6314,04/20/79,04/20,45,61967,Some college,Married,Education officer/ environmental,50k to 100k
Samantha Elliott,Samantha,Elliott,Female,072-11-1012,10/17/60,10/17,63,11777,High school/GED,Never married,Commercial/residential surveyor,100k to 200k
Crystal Ryan,Crystal,Ryan,Female,479-74-9632,01/18/75,01/18,49,94504,Masters degree,Widowed,Curator,Over 200k
Angela Villegas,Angela,Villegas,Female,867-49-1872,06/12/99,06/12,25,88111,High school/GED,Never married,Surveyor/ planning and development,25k to 50k
Sherry Johnson,Sherry,Johnson,Female,219-17-2882,05/16/87,05/16,37,62241,High school/GED,Never married,Sales executive,Under 25k
Joseph Hudson,Joseph,Hudson,Male,460-92-4982,04/12/94,04/12,30,17126,High school/GED,Never married,Charity fundraiser,Under 25k
Dennis Davis,Dennis,Davis,Male,885-94-6491,03/19/95,03/19,29,74619,Masters degree,Married,Teacher/ English as a foreign language,50k to 100k
Mary Mccall,Mary,Mccall,Female,751-75-6163,07/10/93,07/10,31,60647,Bachelors degree,Never married,Medical technical officer,100k to 200k
Jennifer Olson,Jennifer,Olson,Female,134-11-0754,08/16/01,08/16,23,96296,High school/GED,Never married,Operational researcher,50k to 100k
Jeffrey Gordon,Jeffrey,Gordon,Male,581-21-0832,01/26/81,01/26,43,53636,Associate degree,Never married,Geographical information systems officer,Under 25k
Nicole Scott,Nicole,Scott,Female,021-69-5144,04/19/98,04/19,26,74920,Some college,Married,Pension scheme manager,50k to 100k
Paul Taylor,Paul,Taylor,Male,484-02-0940,10/21/93,10/21,30,74546,Masters degree,Never married,Sports administrator,100k to 200k
Hunter Thomas,Hunter,Thomas,Male,336-62-5630,02/06/85,02/06,39,43079,High school/GED,Divorce,Materials engineer,50k to 100k
Amy Townsend,Amy,Townsend,Female,859-50-6615,11/08/84,11/08,39,84573,High school/GED,Widowed,Herbalist,50k to 100k
Micheal Harvey,Micheal,Harvey,Male,329-77-8130,05/09/67,05/09,57,12086,High school/GED,Never married,Research officer/ trade union,50k to 100k
Jonathon Ruiz,Jonathon,Ruiz,Male,381-09-4909,05/09/91,05/09,33,05126,No degree,Married,Biomedical engineer,50k to 100k
Cory Ross,Cory,Ross,Male,707-41-7367,04/15/98,04/15,26,71184,High school/GED,Never married,Quarry manager,Over 200k
Pedro Edwards,Pedro,Edwards,Male,635-72-3139,12/09/02,12/09,21,63200,High school/GED,Never married,Development worker/ community,100k to 200k
Regina Hansen,Regina,Hansen,Female,596-76-7002,12/18/03,12/18,20,73491,Bachelors degree,Married,Psychiatrist,50k to 100k
Eric Pierce,Eric,Pierce,Male,245-74-2439,01/20/65,01/20,59,97386,Some college,Married,Press sub,Under 25k
Martin Nichols,Martin,Nichols,Male,509-92-2115,06/28/94,06/28,30,47520,Some college,Married,Advertising copywriter,50k to 100k
James Barron,James,Barron,Male,002-83-7540,03/09/70,03/09,54,92932,Masters degree,Never married,Scientist/ water quality,25k to 50k
Penny Richard,Penny,Richard,Female,049-87-6987,01/13/03,01/13,21,15943,Masters degree,Married,Manufacturing engineer,Under 25k
Karen Russo,Karen,Russo,Female,122-94-2358,07/26/84,07/26,40,88369,Professional degree,Married,Race relations officer,100k to 200k
Daniel Wall,Daniel,Wall,Male,131-21-9123,02/01/61,02/01,63,91600,Some college,Never married,Scientist/ forensic,50k to 100k
Mackenzie Peterson,Mackenzie,Peterson,Female,136-25-6491,03/30/96,03/30,28,43830,Some college,Married,Teacher/ early years/pre,100k to 200k
Brittany Bruce,Brittany,Bruce,Female,069-24-9947,03/09/91,03/09,33,93003,Bachelors degree,Married,Armed forces training and education officer,50k to 100k
Kevin Lewis,Kevin,Lewis,Male,377-77-2820,05/07/02,05/07,22,09451,Some college,Never married,Insurance account manager,Under 25k
Regina Hamilton,Regina,Hamilton,Female,756-19-9100,06/10/83,06/10,41,93079,High school/GED,Married,Librarian/ public,50k to 100k
Andrew Edwards,Andrew,Edwards,Male,280-28-3278,05/15/80,05/15,44,92422,Some college,Married,Wellsite geologist,25k to 50k
Cheryl Mclaughlin,Cheryl,Mclaughlin,Female,536-65-9579,10/31/91,10/31,32,99821,Masters degree,Never married,Statistician,50k to 100k
Daniel Compton,Daniel,Compton,Male,464-91-1707,01/19/63,01/19,61,27574,Some college,Married,Clinical psychologist,50k to 100k
Heather Parker,Heather,Parker,Female,397-89-1301,11/11/96,11/11,27,48984,No degree,Married,Medical physicist,100k to 200k
Joseph Davis,Joseph,Davis,Male,438-99-9013,03/08/79,03/08,45,27994,High school/GED,Married,Clinical scientist/ histocompatibility and immunogenetics,25k to 50k
George Faulkner,George,Faulkner,Male,751-15-2230,09/02/92,09/02,32,65322,Bachelors degree,Never married,Engineer/ production,100k to 200k
Joseph Valenzuela,Joseph,Valenzuela,Male,147-04-5955,11/15/66,11/15,57,61190,Some college,Never married,Transport planner,25k to 50k
Anthony Johnson,Anthony,Johnson,Male,518-31-5174,03/12/05,03/12,19,46814,Masters degree,Married,Civil engineer/ contracting,100k to 200k
Candice Young,Candice,Young,Female,728-81-8682,01/24/69,01/24,55,68501,High school/GED,Never married,Journalist/ newspaper,50k to 100k
Jasmin Brown,Jasmin,Brown,Female,022-12-0491,06/04/61,06/04,63,29124,No degree,Divorce,Dispensing optician,50k to 100k
Jessica Higgins,Jessica,Higgins,Female,244-29-2415,06/09/84,06/09,40,43712,Some college,Widowed,Metallurgist,50k to 100k
Emma Hale,Emma,Hale,Female,608-70-8521,04/01/76,04/01,48,90256,Some college,Married,Farm manager,Under 25k
Heather Miles,Heather,Miles,Female,672-06-8083,01/04/06,01/04,18,03610,High school/GED,Married,Amenity horticulturist,100k to 200k
Jessica Williams,Jessica,Williams,Female,844-16-2827,12/09/03,12/09,20,10386,Associate degree,Divorce,Oncologist,50k to 100k
Christina Bender,Christina,Bender,Female,633-45-3180,01/22/71,01/22,53,82377,Associate degree,Never married,Records manager,Over 200k
Melissa Barrett,Melissa,Barrett,Female,257-04-3367,11/06/81,11/06,42,59381,High school/GED,Married,Librarian/ academic,50k to 100k
Kayla Chase,Kayla,Chase,Female,225-76-8123,06/03/64,06/03,60,02287,High school/GED,Married,Logistics and distribution manager,Under 25k
Kristopher Brown,Kristopher,Brown,Male,253-83-3480,02/03/77,02/03,47,99058,Some college,Married,Barista,50k to 100k
Jesus Murray,Jesus,Murray,Male,568-94-1501,07/24/82,07/24,42,38214,Bachelors degree,Married,Publishing rights manager,25k to 50k
Sandy Smith,Sandy,Smith,Female,117-22-7863,06/02/75,06/02,49,69911,High school/GED,Divorce,Housing manager/officer,Under 25k
Hector Johnson,Hector,Johnson,Male,848-55-3586,05/28/88,05/28,36,60678,Some college,Never married,Telecommunications researcher,50k to 100k
Roger Cooper,Roger,Cooper,Male,474-64-0728,09/28/70,09/28,53,79368,Doctorate,Married,Chief Financial Officer,100k to 200k
Katie Hodges,Katie,Hodges,Female,014-10-0871,07/06/64,07/06,60,36816,High school/GED,Married,Dance movement psychotherapist,100k to 200k
Kristin Robinson,Kristin,Robinson,Female,890-72-3279,01/12/99,01/12,25,31189,No degree,Never married,Holiday representative,50k to 100k
Christina Perez,Christina,Perez,Female,069-70-4200,11/30/99,11/30,24,67488,No degree,Married,Scientist/ audiological,25k to 50k
Shelly Hamilton,Shelly,Hamilton,Female,414-50-9494,06/17/83,06/17,41,48859,High school/GED,Married,Astronomer,100k to 200k
Melissa Gray,Melissa,Gray,Female,288-13-7175,08/14/70,08/14,54,04471,High school/GED,Widowed,Journalist/ broadcasting,Over 200k
David Wagner,David,Wagner,Male,011-16-8150,12/21/72,12/21,51,01211,Bachelors degree,Never married,Presenter/ broadcasting,25k to 50k
Maureen Guerra,Maureen,Guerra,Female,474-63-1821,03/25/75,03/25,49,33324,Bachelors degree,Married,Teacher/ English as a foreign language,25k to 50k
Joe Robinson,Joe,Robinson,Male,321-84-6395,09/02/60,09/02,64,04141,No degree,Married,Mechanical engineer,Under 25k
Garrett Gibson,Garrett,Gibson,Male,427-27-4703,02/04/95,02/04,29,01574,Some college,Married,IT consultant,25k to 50k
Michael Martin,Michael,Martin,Male,781-08-5388,08/14/97,08/14,27,65101,Some college,Married,Engineer/ maintenance,100k to 200k
Jennifer Juarez,Jennifer,Juarez,Female,460-90-5006,09/21/03,09/21,20,69105,Some college,Married,Oceanographer,Under 25k
Adam Marks,Adam,Marks,Male,567-84-1537,09/23/74,09/23,49,21832,Associate degree,Married,Food technologist,50k to 100k
Tabitha Higgins,Tabitha,Higgins,Female,433-81-3414,03/29/78,03/29,46,02626,Masters degree,Never married,International aid/development worker,Under 25k
Daniel Perkins,Daniel,Perkins,Male,543-84-6840,03/16/86,03/16,38,37295,Some college,Divorce,Biochemist/ clinical,100k to 200k
Jodi Robinson,Jodi,Robinson,Female,247-28-5725,02/18/98,02/18,26,21723,Bachelors degree,Married,Estate agent,Under 25k
Kaitlin Miller,Kaitlin,Miller,Female,385-35-0056,12/04/74,12/04,49,18336,No degree,Married,Translator,100k to 200k
Sherry Burton,Sherry,Burton,Female,739-79-1565,10/15/89,10/15,34,20844,Masters degree,Widowed,Teacher/ secondary school,25k to 50k
John Newton,John,Newton,Male,125-81-2897,03/05/99,03/05,25,42278,Masters degree,Never married,Games developer,50k to 100k
Tyler Henderson,Tyler,Henderson,Male,464-56-1646,08/31/87,08/31,37,78139,High school/GED,Divorce,Research scientist (life sciences),100k to 200k
Katrina Mckee,Katrina,Mckee,Female,733-62-6161,11/30/88,11/30,35,50669,Bachelors degree,Separated,Accommodation manager,50k to 100k
Brian Mahoney,Brian,Mahoney,Male,895-87-9941,04/17/75,04/17,49,83656,Bachelors degree,Never married,Research officer/ government,100k to 200k
Antonio Mitchell,Antonio,Mitchell,Male,444-03-6517,01/27/04,01/27,20,06127,Some college,Married,Government social research officer,25k to 50k
Andrew Griffin,Andrew,Griffin,Male,473-61-0102,04/24/66,04/24,58,75397,High school/GED,Married,Research officer/ trade union,Over 200k
Tony Lara,Tony,Lara,Male,842-23-6422,07/26/71,07/26,53,57002,Bachelors degree,Never married,Accommodation manager,25k to 50k
Ebony Daugherty,Ebony,Daugherty,Female,869-25-6461,10/29/73,10/29,50,43775,Bachelors degree,Separated,Nurse/ mental health,25k to 50k
Steven Stewart,Steven,Stewart,Male,032-81-0355,12/06/77,12/06,46,82997,Bachelors degree,Divorce,Buyer/ industrial,25k to 50k
Sara Stewart,Sara,Stewart,Female,553-81-5836,06/06/84,06/06,40,13563,Bachelors degree,Never married,Operations geologist,25k to 50k
Roger Banks,Roger,Banks,Male,588-98-7173,05/30/94,05/30,30,51943,Some college,Married,Engineer/ communications,Under 25k
Kelly Jordan,Kelly,Jordan,Female,422-21-9139,04/04/74,04/04,50,06970,High school/GED,Never married,Buyer/ industrial,100k to 200k
James Baxter,James,Baxter,Male,450-34-7533,08/23/68,08/23,56,54949,High school/GED,Married,Holiday representative,25k to 50k
Tanya Hill,Tanya,Hill,Female,584-05-7623,02/09/03,02/09,21,93582,Some college,Never married,Set designer,100k to 200k
Wendy Mann,Wendy,Mann,Female,436-71-5916,05/11/05,05/11,19,50616,Bachelors degree,Married,Diplomatic Services operational officer,100k to 200k
Joseph Guzman,Joseph,Guzman,Male,177-26-1267,01/18/68,01/18,56,22835,Some college,Married,Nurse/ adult,100k to 200k
Jamie Hansen,Jamie,Hansen,Male,059-95-7035,01/23/75,01/23,49,76199,High school/GED,Married,Archivist,50k to 100k
Matthew Mitchell,Matthew,Mitchell,Male,376-14-2672,08/01/98,08/01,26,13715,High school/GED,Never married,Lawyer,50k to 100k
Anthony Henderson,Anthony,Henderson,Male,597-71-8175,03/23/68,03/23,56,77179,Professional degree,Married,International aid/development worker,25k to 50k
Sandra Lara,Sandra,Lara,Female,780-60-1764,02/07/89,02/07,35,79901,Some college,Married,Engineer/ land,Over 200k
Carrie Francis,Carrie,Francis,Female,337-53-6612,08/14/95,08/14,29,41322,Bachelors degree,Divorce,Air cabin crew,50k to 100k
Bridget Huffman,Bridget,Huffman,Female,069-72-2334,10/31/59,10/31,64,06252,Bachelors degree,Married,Orthoptist,25k to 50k
Jill Rangel,Jill,Rangel,Female,694-84-1218,10/04/97,10/04,26,41162,No degree,Married,Emergency planning/management officer,25k to 50k
Mary Allen,Mary,Allen,Female,238-88-8209,11/17/66,11/17,57,65873,High school/GED,Never married,Passenger transport manager,50k to 100k
Vincent Johnson,Vincent,Johnson,Male,567-86-9343,12/26/96,12/26,27,27016,Some college,Divorce,Teacher/ secondary school,100k to 200k
Lauren Cooper,Lauren,Cooper,Female,885-94-9853,05/28/95,05/28,29,45876,Bachelors degree,Married,Hydrologist,Over 200k
Madison Torres,Madison,Torres,Female,406-58-1580,05/03/93,05/03,31,38885,Bachelors degree,Never married,Pensions consultant,Over 200k
Leslie Johnson,Leslie,Johnson,Female,820-11-6424,07/06/88,07/06,36,02911,Masters degree,Never married,Event organiser,25k to 50k
Emma Estrada,Emma,Estrada,Female,658-35-1862,09/20/80,09/20,43,67485,High school/GED,Married,Engineer/ structural,50k to 100k
Scott Morgan,Scott,Morgan,Male,611-73-2722,08/22/06,08/22,18,89740,No degree,Never married,Sound technician/ broadcasting/film/video,Under 25k
Jesse Clayton,Jesse,Clayton,Male,258-54-1798,11/11/76,11/11,47,59154,Bachelors degree,Married,Acupuncturist,50k to 100k
Brittany Schwartz,Brittany,Schwartz,Female,891-37-5335,09/07/90,09/07,34,11449,Associate degree,Divorce,Teaching laboratory technician,50k to 100k
Jenny Burns,Jenny,Burns,Female,006-14-8348,04/05/97,04/05,27,59021,High school/GED,Widowed,Fashion designer,50k to 100k
Matthew Jacobs,Matthew,Jacobs,Male,675-68-1118,10/24/62,10/24,61,69501,Masters degree,Never married,Immunologist,50k to 100k
Susan Wyatt,Susan,Wyatt,Female,681-16-0671,06/11/04,06/11,20,77662,High school/GED,Never married,Science writer,50k to 100k
Steven Taylor,Steven,Taylor,Male,781-43-4447,01/10/76,01/10,48,09330,High school/GED,Married,Forensic psychologist,50k to 100k
Adam Wise,Adam,Wise,Male,480-97-0942,10/11/86,10/11,37,42547,Associate degree,Married,Product designer,100k to 200k
Ashley Jackson,Ashley,Jackson,Female,379-51-2043,04/23/90,04/23,34,60734,Bachelors degree,Married,Database administrator,50k to 100k
Matthew Brown,Matthew,Brown,Male,214-48-0957,12/16/75,12/16,48,54886,Bachelors degree,Married,Accommodation manager,100k to 200k
Ronald Thomas,Ronald,Thomas,Male,872-54-5332,06/30/86,06/30,38,92955,Some college,Married,Buyer/ industrial,100k to 200k
Grace White,Grace,White,Female,703-30-1664,04/15/84,04/15,40,37645,No degree,Married,Site engineer,50k to 100k
Nicole Robinson,Nicole,Robinson,Female,896-90-9720,07/30/05,07/30,19,75789,Bachelors degree,Married,Engineer/ maintenance,25k to 50k
Barry Adams,Barry,Adams,Male,668-56-1071,05/06/60,05/06,64,95239,Some college,Married,Geneticist/ molecular,25k to 50k
William Harrington,William,Harrington,Male,593-53-9328,08/12/73,08/12,51,69445,Bachelors degree,Never married,Pharmacist/ hospital,Over 200k
Barbara Johnston,Barbara,Johnston,Female,548-59-6201,04/28/90,04/28,34,97897,High school/GED,Married,Marine scientist,100k to 200k
Megan Li,Megan,Li,Female,010-63-0203,04/15/78,04/15,46,32029,High school/GED,Divorce,Astronomer,Over 200k
Lawrence Torres,Lawrence,Torres,Male,017-73-4400,04/29/75,04/29,49,39930,High school/GED,Never married,Research scientist (medical),100k to 200k
Ashlee Estes,Ashlee,Estes,Female,838-16-3688,02/13/71,02/13,53,09486,Masters degree,Never married,Scientist/ water quality,Under 25k
Brian Chandler,Brian,Chandler,Male,893-16-7588,07/05/06,07/05,18,05461,Bachelors degree,Married,Medical technical officer,50k to 100k
Brianna Schultz,Brianna,Schultz,Female,215-80-9615,02/08/90,02/08,34,62035,Associate degree,Married,Health promotion specialist,25k to 50k
Kimberly Velez,Kimberly,Velez,Female,653-35-1601,03/14/06,03/14,18,17047,Doctorate,Married,Heritage manager,100k to 200k
Adrian Jones,Adrian,Jones,Male,405-53-8944,02/05/66,02/05,58,44677,Bachelors degree,Married,Holiday representative,100k to 200k
Alexander Miller,Alexander,Miller,Male,354-89-7948,03/25/83,03/25,41,43926,Doctorate,Never married,Chiropodist,50k to 100k
Robert Carter,Robert,Carter,Male,428-89-6941,11/29/85,11/29,38,56003,Professional degree,Never married,Animator,100k to 200k
James Herring,James,Herring,Male,896-58-8985,06/21/94,06/21,30,78961,High school/GED,Never married,Fisheries officer,25k to 50k
Alison Spence,Alison,Spence,Female,700-21-7589,01/04/03,01/04,21,45541,No degree,Never married,Advertising account executive,25k to 50k
Brian Smith,Brian,Smith,Male,575-88-8940,07/14/71,07/14,53,61334,Some college,Married,Building control surveyor,100k to 200k
Andrew Johnson,Andrew,Johnson,Male,667-97-5279,09/10/85,09/10,39,04274,No degree,Married,Information officer,Under 25k
Debra Mitchell,Debra,Mitchell,Female,785-01-9833,05/20/87,05/20,37,90685,High school/GED,Married,Engineer/ site,50k to 100k
Jordan French,Jordan,French,Female,397-11-3137,05/03/84,05/03,40,37019,High school/GED,Widowed,Geographical information systems officer,Under 25k
Adam Ford,Adam,Ford,Male,412-04-1224,09/07/86,09/07,38,99339,High school/GED,Never married,Fine artist,Under 25k
Matthew Spencer,Matthew,Spencer,Male,168-59-3670,10/07/87,10/07,36,65603,High school/GED,Divorce,Prison officer,50k to 100k
Michael Richardson,Michael,Richardson,Male,001-28-6855,05/26/00,05/26,24,25453,Associate degree,Married,Research scientist (medical),100k to 200k
Michael Spencer,Michael,Spencer,Male,318-25-1102,12/16/01,12/16,22,81621,High school/GED,Divorce,Retail banker,Over 200k
Shannon Meyer,Shannon,Meyer,Female,169-10-5970,05/21/84,05/21,40,83952,High school/GED,Married,Archivist,25k to 50k
Tina Medina,Tina,Medina,Female,746-90-2824,05/09/99,05/09,25,21293,Associate degree,Widowed,Oceanographer,25k to 50k
Joe Ortiz,Joe,Ortiz,Male,457-87-8920,11/19/83,11/19,40,37426,Associate degree,Never married,Chartered public finance accountant,100k to 200k
Cheryl Franklin,Cheryl,Franklin,Female,448-84-1062,12/09/02,12/09,21,09281,Some college,Married,Accountant/ chartered,100k to 200k
James Hobbs,James,Hobbs,Male,280-48-1205,05/31/03,05/31,21,24441,Some college,Never married,Accountant/ chartered certified,50k to 100k
Jennifer Downs,Jennifer,Downs,Female,474-27-0113,05/22/92,05/22,32,97715,Bachelors degree,Never married,Rural practice surveyor,50k to 100k
Teresa Reilly,Teresa,Reilly,Female,471-28-4128,11/14/01,11/14,22,15484,Some college,Widowed,Horticultural therapist,Over 200k
Nichole Ferguson,Nichole,Ferguson,Female,487-13-2748,08/01/94,08/01,30,59166,Masters degree,Never married,Early years teacher,100k to 200k
Valerie Adams,Valerie,Adams,Female,096-73-3031,03/03/01,03/03,23,85644,High school/GED,Widowed,Runner/ broadcasting/film/video,100k to 200k
Paula Taylor,Paula,Taylor,Female,216-96-9963,12/08/80,12/08,43,07328,Bachelors degree,Married,Doctor/ general practice,50k to 100k
Christian Diaz,Christian,Diaz,Male,701-93-8328,08/31/05,08/31,19,52222,High school/GED,Married,Paramedic,Over 200k
Michael Bentley,Michael,Bentley,Male,513-17-7328,09/28/78,09/28,45,53094,High school/GED,Married,Educational psychologist,100k to 200k
Elizabeth Grant,Elizabeth,Grant,Female,468-05-8132,02/02/02,02/02,22,78712,High school/GED,Married,Radio producer,100k to 200k
Jeffery Cortez,Jeffery,Cortez,Male,045-16-7624,01/23/69,01/23,55,27092,High school/GED,Married,Higher education lecturer,50k to 100k
Mary Clayton,Mary,Clayton,Female,112-26-0601,06/28/87,06/28,37,91627,High school/GED,Widowed,Investment analyst,25k to 50k
